feature_name	feature_importance
HOMA.B	0.143901029145956
PBG	0.118361464431592
FPG	0.07723228062743188
GPX3	0.05045731395357087
RBC	0.041573191434301895
APOA2	0.038419349972973735
USO1	0.03264708416845335
PON1	0.026178560146537803
L2HGDH	0.02471560149764799
CKMB	0.022707782211402176
SLC4A2	0.021075372655047345
cg19076985	0.019279470074062
ARID1A	0.017974949567880285
CFHR1	0.017623345907724117
IGFBP2	0.016292697054625035
cg11078090	0.016247249631432717
CPN1	0.01590623767734762
GNA13	0.015899629907905173
MASP2	0.014499270847611052
FGA	0.014461410857157088
Age	0.014224685575005322
IGHV3.72	0.014128260549758102
FFA	0.013885255026347791
TF	0.013018563639483659
LYZ	0.012694871565900283
APOE	0.012440030998312096
AKR1A1	0.01085037742068395
YWHAQ	0.010727419096745782
ZFYVE19	0.010164099168706265
PRB3	0.009648028714564645
WBC	0.009610145885643568
cg27352622	0.009593108590223382
cg05484949	0.009249797897621705
GSTM1	0.008899110355149188
FINS	0.008707457373991988
APCS	0.008430459921779794
FGG	0.008230769333294008
CP	0.008217828026754238
S100A9	0.008085925062933357
AHSG	0.007871841476829193
GSN	0.0077655655217608
CFHR3	0.007754336503104759
RMC1	0.007711051426438793
PI16	0.0076547512190133895
HBZ	0.00754003838956222
CELA3A	0.007537805130930586
CFD	0.007381918767221987
ITIH4	0.007336610887355931
G6PD	0.007277653420845515
SERPINC1	0.006782724746012926
CPB1	0.006771079955839104
HDHD2	0.006730681427802314
A1BG	0.00661830190131379
APOA1	0.006572187198137418
SCIN	0.006441019948149511
STXBP5	0.006084299112803118
CFHR2	0.0057546784199193225
YWHAH	0.0056519845728612685
UMACRR	0.005650897747625535
HSPG2	0.005439261173678293
cg03629335	0.00530355484712731
HABP2	0.005237666272030647
GSTM4	0.005236487062439465
TG	0.005202395635646845
UMA	0.0050235959445935376
GGT1	0.004957756112215419
IGLV3.19	0.004891710144235409
CD163	0.004828573071362133
PLT	0.004729294072804307
ALT	0.004678024826612223
AKR1B1	0.004592757349347581
YWHAG	0.0045136822580894445
SERPINA6	0.004484095777638742
AFM	0.004481423800530825
APOF	0.0044712918964509955
GMPS	0.004410167854775829
ORM1	0.004308731645181593
C8G	0.004074678270732601
PIGR	0.004053893460573068
SERPINA3	0.004045838341557988
UCR	0.004028808323996338
CLU	0.0039919925356052995
TUBA4A	0.003755277199997108
FETUB	0.0036148779064560806
FCGR3A	0.0034001461261092846
APOC1	0.0031806881595229227
RACK1	0.002873369822577977
AST	0.002746724863582678
FBLN1	0.002677604221480762
cg08726900	0.0025749063939033076
PRG4	0.00246480955414734
PGLYRP2	0.00193337055474691
TUBA8	0.0016987043043875433
FGB	0.0015958122320800295
APOC2	0.0005238022691833115
HBA1C	1.73659881932751e-05
HB	1.717831482679104e-05
HDLC	1.3988991333407365e-05
APOC3	1.364648746447267e-05
CAMP	1.318775966629835e-05
HCT	1.294855280712193e-05
APOH	1.2531747672879037e-05
EGFR	1.2339219186566083e-05
BMI	1.2295184216787529e-05
SERPINA7	1.1801627401642183e-05
RPS3	1.1569963176130154e-05
BUN	1.1511081581237465e-05
CPB2	1.094932101857743e-05
AGT	1.0817673081585696e-05
cg00827581	1.039936885135149e-05
FCGBP	1.0102883638334163e-05
APOA4	9.853561629226882e-06
ACACB	9.469324055822532e-06
SCRIB	9.42443984239611e-06
CFH	9.355642592564955e-06
NXF1	9.228142532689968e-06
